precio,ubicacion,delegacion,colonia,tamanio,latitud,longitud
12000,"SUR ,  Héroes de Churubusco, Iztapalapa",Iztapalapa,Héroes de Churubusco,40,19.361,-99.11
8900,"AVENIDA JOSE MARIA CASTORENA ,  José Maria Castorena, Cuajimalpa de Morelos",Cuajimalpa de Morelos,José Maria Castorena,52,19.36,-99.28
12500,"Manuel J. Othón ,  Obrera, Cuauhtémoc",Cuauhtémoc,Obrera,40,19.414,-99.13
16000,"Golfo de San Lorenzo No. 41 ,  Tacuba, Miguel Hidalgo",Miguel Hidalgo,Tacuba,61,19.457,-99.19
1785,"Vasco de Quiroga 5000,  Contadero, Cuajimalpa de Morelos",Cuajimalpa de Morelos,Contadero,51,19.363,-99.27
10000,"orion,  Prado Churubusco, Coyoacán",Coyoacán,Prado Churubusco,18,19.355,-99.12
6000,"Los Angeles ,  Los Angeles, Iztapalapa",Iztapalapa,Los Angeles,13,19.343,-99.06
14200,"Avenida Centenario 400,  Merced Gómez, Alvaro Obregón",Alvaro Obregón,Merced Gómez,5612,19.366,-99.2
32000,"FELIX CUEVAS,  Del Valle Centro, Benito Juárez",Benito Juárez,Del Valle Centro,75,19.372,-99.17
17500,"NAPOLES 60,  Juárez, Cuauhtémoc",Cuauhtémoc,Juárez,25,19.426,-99.15
11512,"Calle 16 514,  Pro-Hogar, Azcapotzalco",Azcapotzalco,Pro-Hogar,40,19.473,-99.15
10000,"Calz. Chabacano 75, Asturias, Cuauhtémoc, 06890 Ciudad de México, CDMX,  Asturias, Cuauhtémoc",Cuauhtémoc,Asturias,35,19.408,-99.13
15000,"Alberto Braniff , Aviación Civil, Venustiano Carranza,  Ciudad de México, CDMX,  Aviación Civil, Venustiano Carranza",Venustiano Carranza,Aviación Civil,80,19.415,-99.07
8000,"MONTECITO 38,  Nápoles, Benito Juárez",Benito Juárez,Nápoles,8,19.395,-99.17
20000,"PERIFÉRICO SUR ,  Jardines en la Montaña, Tlalpan",Tlalpan,Jardines en la Montaña,733,19.304,-99.2
8500,"Av Santa Lucia 156,  Alfonso XIII, Alvaro Obregón",Alvaro Obregón,Alfonso XIII,551,19.378,-99.19
9500,"Sagredo 170,  San José Insurgentes, Benito Juárez",Benito Juárez,San José Insurgentes,17,19.363,-99.18
20500,"Avenida Hidalgo,  Del Carmen, Coyoacán",Coyoacán,Del Carmen,18,19.35,-99.15
2500,"Libertad 21,  San Miguel Chapultepec, Miguel Hidalgo",Miguel Hidalgo,San Miguel Chapultepec,408,19.203,-99.56
14000,"AV. REVOLUCION  ,  La Otra Banda, Coyoacán",Coyoacán,La Otra Banda,19,19.335,-99.19
48000,"FRONTERA,  Roma Norte, Cuauhtémoc",Cuauhtémoc,Roma Norte,45,19.423,-99.15
16000,"Dr Carmona y Valle ,  Doctores, Cuauhtémoc",Cuauhtémoc,Doctores,32,19.422,-99.15
50000,"Cerro Tres Zapotes,  Copilco Universidad, Coyoacán",Coyoacán,Copilco Universidad,73,19.335,-99.17
6300,"Petén Planta Baja,  Narvarte Oriente, Benito Juárez",Benito Juárez,Narvarte Oriente,10,19.387,-99.15
30000,"Florencia  33,  Juárez, Cuauhtémoc",Cuauhtémoc,Juárez,22,19.424,-99.16
8000,"C. Juan E. Hernández y Davalos 119,  Algarín, Cuauhtémoc",Cuauhtémoc,Algarín,111,19.405,-99.13
16000,"cafetales 1792,  Haciendas de Coyoacán, Coyoacán",Coyoacán,Haciendas de Coyoacán,6811,19.302,-99.11
40000,"Desierto de los Leones al 5400,  Alcantarilla, Alvaro Obregón",Alvaro Obregón,Alcantarilla,56,19.338,-99.24
33000,"Nuevo León 163,  Condesa, Cuauhtémoc",Cuauhtémoc,Condesa,36,19.408,-99.17
9280,"Carretera México-Toluca 5100,  El Yaqui, Cuajimalpa de Morelos",Cuajimalpa de Morelos,El Yaqui,16,19.366,-99.27
17000,"Av. Universidad 2079,  Copilco El Bajo, Coyoacán",Coyoacán,Copilco El Bajo,4550,19.337,-99.18
45000,"CHAPULTEPEC 360,  Roma Norte, Cuauhtémoc",Cuauhtémoc,Roma Norte,662,19.422,-99.16
35000,"GOYA,  Insurgentes Mixcoac, Benito Juárez",Benito Juárez,Insurgentes Mixcoac,6910,19.373,-99.18
30000,"INSURGENTES CENTRO ,  Tabacalera, Cuauhtémoc",Cuauhtémoc,Tabacalera,60,19.433,-99.15
12500,"Local EN Renta Trebol, Santa Maria LA Ribera,  Santa María la Ribera, Cuauhtémoc",Santa María la Ribera,Santa Maria LA Ribera,60,19.441,-99.15
4800,"Av. Azcapotzalco 696,  Centro de Azcapotzalco, Azcapotzalco",Azcapotzalco,Centro de Azcapotzalco,12,19.483,-99.18
4500,"Azahares 14,  Santa Maria Insurgentes, Cuauhtémoc",Cuauhtémoc,Santa Maria Insurgentes,20,19.46,-99.14
13500,"Calzada México-Xochimilco 118,  San Lorenzo Huipulco, Tlalpan",Tlalpan,San Lorenzo Huipulco,151,19.295,-99.15
48000,"Prado Norte,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,602,19.426,-99.2
12000,"AV. TLAHUAC ,  San Andrés Tomatlán, Iztapalapa",Iztapalapa,San Andrés Tomatlán,50,19.328,-99.1
1050036,"Corregidora 115 A-2, Barrio Caramaguey, Tlalpan,  Barrio de Caramagüey, Tlalpan",Tlalpan,Barrio Caramaguey,50,19.29,-99.18
16000,"Miguel Noreña 33,  San José Insurgentes, Benito Juárez",Benito Juárez,San José Insurgentes,35,19.363,-99.18
8000,"Avenida Miguel Ángel de Quevedo 353,  Romero de Terreros, Coyoacán",Coyoacán,Romero de Terreros,15,19.345,-99.17
16500,"Patriotismo,  Nápoles, Benito Juárez",Benito Juárez,Nápoles,50,19.394,-99.18
