precio,ubicacion,delegacion,colonia,tamanio,latitud,longitud
32998,"Circuito Interior Melchor Ocampo,  Cuauhtémoc, Cuauhtémoc",Cuauhtémoc,Cuauhtémoc,47,19.43,-99.17
36000,"Guillermo Gonzalez Camarena,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",Cuajimalpa de Morelos,Santa Fe Cuajimalpa,78,19.366,-99.26
27000,"Monte Athos,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,22,19.419,-99.21
29000,"ROMA NORTE,  Roma Norte, Cuauhtémoc",Cuauhtémoc,Roma Norte,43,19.416,-99.15
4500,"Calle Violeta 10,  Barrio San Diego, Xochimilco",Xochimilco,Barrio San Diego,251,19.262,-99.1
20000,"SANTA APOLONIA,  Santa Apolonia, Azcapotzalco",Azcapotzalco,Santa Apolonia,56,19.475,-99.19
1500,"Local_ Torre Blu_salvador Agraz 73,  Las Tinajas, Cuajimalpa de Morelos",Cuajimalpa de Morelos,Las Tinajas,16,19.358,-99.27
14000,"Jose t cuellar , colonia obrera,  Obrera, Cuauhtémoc",Obrera,colonia obrera,55,19.414,-99.13
12000,"Local Comercial en Renta. Plutarco Elias Calles, San Andres Tetepilco, Iztapalapa,  San Andrés Tetepilco, Iztapalapa",Iztapalapa,San Andres Tetepilco,50,19.368,-99.13
5000,"Av. San Jerónimo 1423,  San Jerónimo Lídice, La Magdalena Contreras",La Magdalena Contreras,San Jerónimo Lídice,20130,19.321,-99.23
34684,"Calle del Carmen,  San Ángel, Alvaro Obregón",Alvaro Obregón,San Ángel,46,19.344,-99.18
45000,"Marina Nacional ,  Anáhuac I Sección, Miguel Hidalgo",Miguel Hidalgo,Anáhuac I Sección,45,19.444,-99.17
50000,"Masaryk,  Polanco, Miguel Hidalgo",Miguel Hidalgo,Polanco,50,19.431,-99.19
43000,"Tamaulipas,  Condesa, Cuauhtémoc",Cuauhtémoc,Condesa,33,19.411,-99.17
60000,"MILITAR MARTE,  Militar Marte, Iztacalco",Iztacalco,Militar Marte,14,19.382,-99.12
450,"Avenida Insurgentes,  Juárez, Cuauhtémoc",Cuauhtémoc,Juárez,66,19.429,-99.16
10000,"Av. Cafetales,  Coyoacán, Ciudad de México",Ciudad de México,Coyoacán,60,19.309,-99.11
9500,"CERRADA DE RIO FRIO 1,  Agrícola Oriental, Iztacalco",Iztacalco,Agrícola Oriental,72,19.391,-99.08
19500,"avenida revolución 2015,  La Otra Banda, Coyoacán",Coyoacán,La Otra Banda,39,19.335,-99.19
11000,"Concepción Bésitegui,  Narvarte Oriente, Benito Juárez",Benito Juárez,Narvarte Oriente,28,19.385,-99.14
41940,"Av. Santa Fe,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",Cuajimalpa de Morelos,Santa Fe Cuajimalpa,45,19.365,-99.26
17000,"Héroes de Padierna 138,  San Jerónimo Lídice, La Magdalena Contreras",La Magdalena Contreras,San Jerónimo Lídice,38,19.323,-99.22
14000,"República de Uruguay 21,  Centro , Cuauhtémoc",Cuauhtémoc,Centro,42,19.43,-99.13
80000,"AV. ARNESES,  San Antonio CulhuacAn, Iztapalapa",Iztapalapa,San Antonio CulhuacAn,50,19.342,-99.11
16000,"Cuauhtémoc ,  Narvarte Poniente, Benito Juárez",Benito Juárez,Narvarte Poniente,10,19.396,-99.15
14000,"Moliere,  Polanco, Miguel Hidalgo",Miguel Hidalgo,Polanco,231,19.43,-99.2
9000,"Presidentes,  Portales Norte, Benito Juárez",Benito Juárez,Portales Norte,21,19.366,-99.14
48012,"Calle Lago Alberto CDMX,  Anáhuac I Sección, Miguel Hidalgo",Miguel Hidalgo,Anáhuac I Sección,542,19.439,-99.18
37000,"MONTE ALBAN,  Narvarte Oriente, Benito Juárez",Benito Juárez,Narvarte Oriente,74,19.384,-99.15
29000,"Coahuila,  Roma Norte, Cuauhtémoc",Cuauhtémoc,Roma Norte,43,19.411,-99.16
11007,"Carretera Mexico Toluca ,  El Yaqui, Cuajimalpa de Morelos",Cuajimalpa de Morelos,El Yaqui,1911,19.366,-99.27
12000,"LA VIGA,  Militar Marte, Iztacalco",Iztacalco,Militar Marte,40,19.413,-99.12
780,"Insrugentes sur al 4200,  Santa Úrsula Xitla, Tlalpan",Tlalpan,Santa Úrsula Xitla,12,19.282,-99.17
33000,"Av. Universidad S/N,  Coyoacán, Ciudad de México",Ciudad de México,Coyoacán,60,19.348,-99.18
14000,"AV ERMITA IZTAPALAPA #,  Ampliación San Miguel, Iztapalapa",Iztapalapa,Ampliación San Miguel,78,19.35,-99.07
170000,"Calzada de Guadalupe, Vallejo,  Xochimilco, Ciudad de México",Xochimilco,Vallejo,1,19.465,-99.12
23000,"Av. baja california,  Condesa, Cuauhtémoc",Cuauhtémoc,Condesa,141,19.405,-99.16
17400,"TEHUANTEPEC ,  Roma Sur, Cuauhtémoc",Cuauhtémoc,Roma Sur,15,19.405,-99.15
17000,"Leibnitz,  Anzures, Miguel Hidalgo",Miguel Hidalgo,Anzures,19,19.428,-99.17
500,"Periodista ,  Periodista, Miguel Hidalgo",Miguel Hidalgo,Periodista,403,19.448,-99.21
5000,"auriaga 8,  Prado Churubusco, Coyoacán",Coyoacán,Prado Churubusco,201,19.358,-99.13
13000,"5 de Febrero 462 Loc. 10  Algarín, Cuauhtémoc, 06880 Ciudad de México.,  Algarín, Cuauhtémoc",06880 Ciudad de México.,Cuauhtémoc,25,19.405,-99.13
17400,"TEHUANTEPEC ,  Roma Sur, Cuauhtémoc",Cuauhtémoc,Roma Sur,15,19.405,-99.15
20000,"AV REVOLUCION,  Santa María Nonoalco, Benito Juárez",Benito Juárez,Santa María Nonoalco,26,19.38,-99.18
28500,"Av. del Peñón,  Moctezuma, Venustiano Carranza",Venustiano Carranza,Moctezuma,30,19.439,-99.09
27000,"Leibnitz,  Anzures, Miguel Hidalgo",Miguel Hidalgo,Anzures,42,19.428,-99.17
74200,"5 de Febrero,  Centro , Cuauhtémoc",Cuauhtémoc,Centro,53,19.425,-99.13
14990,"Santa Lucia 881,  Colina del Sur, Alvaro Obregón",Alvaro Obregón,Colina del Sur,41,19.368,-99.22
39000,"Av. Ejército Nacional,  Polanco, Miguel Hidalgo",Miguel Hidalgo,Polanco,44,19.437,-99.18
23000,"Carretera Picacho Ajusco 884,  Héroes de Padierna, Tlalpan",Tlalpan,Héroes de Padierna,67,19.282,-99.21
21000,"Canario 166,  Tolteca, Alvaro Obregón",Alvaro Obregón,Tolteca,57,19.393,-99.19
28000,"SANTA MARIA LA RIBERA,  Santa María la Ribera, Cuauhtémoc",Cuauhtémoc,Santa María la Ribera,45,19.446,-99.15
100000,"Monte Athos,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,69,19.42,-99.21
18000,"Canal de Miramontes,  Los Girasoles, Coyoacán",Coyoacán,Los Girasoles,35,19.31,-99.12
6500,"Calle norte 17,  Moctezuma, Venustiano Carranza",Venustiano Carranza,Moctezuma,17,19.43,-99.1
25000,"SANTA APOLONIA,  Santa Apolonia, Azcapotzalco",Azcapotzalco,Santa Apolonia,66,19.475,-99.19
20000,"Prado sur,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,26,19.426,-99.2
40000,"B,DURAZNOS,  Bosque de las Lomas, Miguel Hidalgo",Bosque de las Lomas,DURAZNOS,802,19.401,-99.24
40000,"JUAREZ,  Juárez, Cuauhtémoc",Cuauhtémoc,Juárez,40,19.423,-99.16
32000,"Av. insurgentes sur,  Guadalupe Inn, Alvaro Obregón",Alvaro Obregón,Guadalupe Inn,551,19.358,-99.18
7000,"Alcanfores 30 las aguilas,  Las Águilas, Alvaro Obregón",Alvaro Obregón,Las Águilas,32,19.36,-99.2
41857,"Av. del Peñón,  Moctezuma, Venustiano Carranza",Venustiano Carranza,Moctezuma,44,19.439,-99.09
20000,"av baja california,  Condesa, Cuauhtémoc",Cuauhtémoc,Condesa,80,19.405,-99.16
20000,"carretera picacho ajusco 884,  Miguel Hidalgo 3A Sección, Tlalpan",Tlalpan,Miguel Hidalgo 3A Sección,67,19.282,-99.21
58282,"Av. del Peñón,  Moctezuma, Venustiano Carranza",Venustiano Carranza,Moctezuma,78,19.439,-99.09
11350,"Álvaro Obregón,  Roma Norte, Cuauhtémoc",Cuauhtémoc,Roma Norte,11,19.417,-99.16
30000,"Londres 275, Juarez, Cuauhtémoc C. P. 06600,  Juárez, Cuauhtémoc",Cuauhtémoc C. P. 06600,Juarez,55,19.422,-99.17
49000,"Ohio,  Nápoles, Benito Juárez",Benito Juárez,Nápoles,77,19.398,-99.17
24350,"Av. del Peñón,  Moctezuma, Venustiano Carranza",Venustiano Carranza,Moctezuma,24,19.439,-99.09
25000,"Avenida Monterrey,  Roma Sur, Cuauhtémoc",Cuauhtémoc,Roma Sur,70,19.406,-99.16
41601,"Altamirano ""San Cosme"",  San Rafael, Cuauhtémoc",Cuauhtémoc,San Rafael,1,19.438,-99.16
30100,"Insurgentes Sur al 400,  Roma Sur, Cuauhtémoc",Cuauhtémoc,Roma Sur,30,19.407,-99.16
15000,"Puente de Peredo 11,  Centro , Cuauhtémoc",Cuauhtémoc,Centro,28,19.429,-99.14
13205,"Renta de Local Comercial de 56.82 m2 en Plaza Comercial Ferrería,  San Marcos, Azcapotzalco",Azcapotzalco,San Marcos,56,19.489,-99.18
30000,"Lomas de Chapultepec,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,301,19.424,-99.21
10000,"VERONICA ANZUREZ,  Verónica Anzures, Miguel Hidalgo",Miguel Hidalgo,Verónica Anzures,16,19.436,-99.17
10000,"Norte ,  Industrial, Gustavo A. Madero",Gustavo A. Madero,Industrial,28,19.471,-99.13
74200,"Mesones,  Centro (Area 4), Cuauhtémoc",Cuauhtémoc,Centro (Area 4),53,19.43,-99.16
8000,"Camino a Santa Teresa ,  Fuentes del Pedregal, Tlalpan",Tlalpan,Fuentes del Pedregal,20,19.311,-99.22
7000,"Cerro Tlapacoyan ,  Copilco Universidad, Coyoacán",Coyoacán,Copilco Universidad,14,19.335,-99.17
15000,"Monte Libano, Lomas de Chapultepec, Miguel Hidalgo,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,28,19.416,-99.22
35000,"Medellín,  Roma Norte, Cuauhtémoc",Cuauhtémoc,Roma Norte,40,19.415,-99.16
16500,"Se Renta muy Buen Local en Plaza Comercial, Sobre Av. Luis Cabrera, San Jerónimo Lídice,  San Jerónimo Lídice, La Magdalena Contreras",San Jerónimo Lídice,Sobre Av. Luis Cabrera,591,19.323,-99.22
46926,",  Residencial Zacatenco, Gustavo A. Madero",Gustavo A. Madero,Residencial Zacatenco,78,19.5,-99.12
11500,"Agustín Delgado 271,  Tránsito, Cuauhtémoc",Cuauhtémoc,Tránsito,351,19.413,-99.13
11000,"Calle 13,  Ampliación Progreso Nacional, Gustavo A. Madero",Gustavo A. Madero,Ampliación Progreso Nacional,35,19.516,-99.16
33600,"Oso, 127,  Actipan, Benito Juárez",Actipan,127,72,19.372,-99.17
14000,"CALZADA LEGARIA # LOCAL ,  Irrigación, Miguel Hidalgo",Miguel Hidalgo,Irrigación,19,19.443,-99.21
57000,"Leibnitz,  Anzures, Miguel Hidalgo",Miguel Hidalgo,Anzures,74,19.428,-99.17
9000,"Lago Constanza,  Lago Sur, Miguel Hidalgo",Miguel Hidalgo,Lago Sur,483,19.445,-99.18
8500,"Avenida Tlahuac  ,  Doce de Diciembre, Iztapalapa",Iztapalapa,Doce de Diciembre,45,19.309,-99.06
32000,"BLVD. MANUEL AVILA CAMACHO,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,31,19.43,-99.2
35370,"Plaza San Jacinto,  San Ángel, Alvaro Obregón",Alvaro Obregón,San Ángel,34,19.343,-99.19
16000,"Lateral Autopista México - Toluca,  Santa Fe, Alvaro Obregón",Alvaro Obregón,Santa Fe,7,19.358,-99.27
7000,"Miraflores,  Industrial, Gustavo A. Madero",Gustavo A. Madero,Industrial,8,19.471,-99.12
10000,"Calzada Legaria 35,  Ampliación Torre Blanca, Miguel Hidalgo",Miguel Hidalgo,Ampliación Torre Blanca,19,19.458,-99.19
31747,"Av. Fortuna,  Magdalena de las Salinas, Gustavo A. Madero",Gustavo A. Madero,Magdalena de las Salinas,37,19.481,-99.13
5000,"Avenida Victoria Oriente,  Tres Estrellas, Gustavo A. Madero",Gustavo A. Madero,Tres Estrellas,12,19.47,-99.11
10350,"Av. Henry Ford ,  Bondojito, Gustavo A. Madero",Gustavo A. Madero,Bondojito,34,19.466,-99.1
12900,"Prolongación Canarios 166,  Tolteca, Alvaro Obregón",Alvaro Obregón,Tolteca,256,19.393,-99.19
45000,"BLVD. MANUEL AVILA CAMACHO,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,45,19.43,-99.2
7500,"INSURGENTES SUR,  Santa Úrsula Xitla, Tlalpan",Tlalpan,Santa Úrsula Xitla,121,19.273,-99.16
15000,"AÑIL 667 LOCAL 3,  Granjas México, Iztacalco",Iztacalco,Granjas México,76,19.401,-99.09
11500,"INSURGENTES SUR ,  Guadalupe Inn, Alvaro Obregón",Alvaro Obregón,Guadalupe Inn,7,19.351,-99.18
30000,"Insurgentes Sur 2079 PB,  San Ángel, Alvaro Obregón",Alvaro Obregón,San Ángel,80,19.347,-99.18
20000,"Av. Puente de Piedra,  Toriello Guerra, Tlalpan",Tlalpan,Toriello Guerra,40,19.295,-99.16
6998,"MADERO 16,  Centro , Cuauhtémoc",Cuauhtémoc,Centro,10,19.433,-99.13
66000,"Isabel La Católica 1,  Centro , Cuauhtémoc",Cuauhtémoc,Centro,54,19.435,-99.13
6500,"Miramontes,  Avante, Coyoacán",Coyoacán,Avante,12,19.332,-99.13
7500,"Isabel la Catolica,  Niños Héroes, Benito Juárez",Benito Juárez,Niños Héroes,121,19.386,-99.14
11000,"RÍO BECERRA,  San Pedro de los Pinos, Benito Juárez",Benito Juárez,San Pedro de los Pinos,35,19.392,-99.18
30000,"Local en Renta, Excelente Ubicación.,  San Jerónimo Lídice, La Magdalena Contreras",San Jerónimo Lídice,Excelente Ubicación.,50,19.327,-99.22
13000,"Xola 964,  Narvarte Poniente, Benito Juárez",Benito Juárez,Narvarte Poniente,24,19.396,-99.15
8500,"Av. Hidalgo 197,  Santa Anita, Iztacalco",Iztacalco,Santa Anita,41,19.401,-99.11
49000,"OHIO,  Nápoles, Benito Juárez",Benito Juárez,Nápoles,773,19.398,-99.17
9500,"Vulcanización 70,  5o Tramo 20 de Noviembre, Venustiano Carranza",Venustiano Carranza,5o Tramo 20 de Noviembre,562,19.441,-99.11
3000,"Geranio 16, Los Angeles Apanoaya, Iztapalapa,  Los Angeles Apanoaya, Iztapalapa",Iztapalapa,Los Angeles Apanoaya,20,19.34,-99.06
12000,"Bernardo Couto,  Algarín, Cuauhtémoc",Cuauhtémoc,Algarín,23,19.405,-99.13
26000,"BLVD. MANUEL AVILA CAMACHO,  Lomas de Chapultepec, Miguel Hidalgo",Miguel Hidalgo,Lomas de Chapultepec,30,19.43,-99.2
19000,"Avenida Universidad,  Copilco El Bajo, Coyoacán",Coyoacán,Copilco El Bajo,37,19.337,-99.18
1300000,"Periferico sur,  Progreso Tizapán, Alvaro Obregón",Alvaro Obregón,Progreso Tizapán,2015,19.325,-99.21
20880,"Av. del Peñón,  Moctezuma, Venustiano Carranza",Venustiano Carranza,Moctezuma,21,19.439,-99.09
9000,"PROLONGACIÓN PASEO DE LA REFORMA,  Santa Fe, Alvaro Obregón",Alvaro Obregón,Santa Fe,91,19.37,-99.26
35000,"Eje Central Lazaro Cardenas,  Obrera, Cuauhtémoc",Cuauhtémoc,Obrera,74,19.414,-99.14
900,"Leibnitz # 270, Anzures, Miguel Hidalgo, 11590, CDMX,  Anzures, Miguel Hidalgo",Miguel Hidalgo,Anzures,1,19.435,-99.17
26850,"Monterrey,  Roma Norte, Cuauhtémoc",Cuauhtémoc,Roma Norte,24,19.418,-99.16
80000,"Masaryk 180,  Polanco IV Sección, Polanco",Polanco,Polanco IV Sección,45,19.431,-99.18
